IRN,School District,County,Students Disability,Students EL,Students EconDis,Students White,Students Black,Students Latino,Students Asian,Students NativeAm,Students NatHaw,Students Multi,Total Students,PI,Property Tax per Student 2018,Property Tax per Student Mean
45161,Youngstown City,Mahoning,847,         350,        5257,         742,        3043,        1014,0,0,           0,         450,5258,55.961000000000006,50325.29056300765,51477.58520244183
45179,Zanesville City,Muskingum,755,           0,        3165,        2205,         310,          82,          10,0,0,         581,3194,73.667,98154.89329509164,87212.06988714046
45187,Ada Exempted Village,Hardin,91,0,         231,         764,          17,          22,0,0,           0,          17,834,94.25500000000001,128146.36233291707,115410.78150699982
45195,Amherst Exempted Village,Lorain,413,          14,         691,        2881,          94,         420,          42,0,0,         106,3551,97.89500000000001,160085.94852280986,141079.84474747343
45203,Barnesville Exempted Village,Belmont,135,0,         430,        1350,0,0,0,0,           0,          41,1404,85.581,199434.18920349513,158423.56197459975
45211,Bluffton Exempted Village,Allen,115,0,         182,        1097,0,          26,0,0,           0,          36,1173,101.72200000000001,159609.3190321776,136573.71619743636
45229,Bradford Exempted Village,Miami,70,           0,         203,         467,           0,0,           0,           0,           0,0,471,85.19,106769.06343027251,91692.75873137372
45237,Bridgeport Exempted Village,Belmont,100,           0,         412,         676,          31,          11,           0,0,           0,          57,776,85.31400000000001,135493.99179749744,102809.13324389607
45245,Harrison Hills City,Harrison,235,0,         726,        1383,          20,0,0,0,           0,          62,1482,83.409,376263.38782736653,212364.91805445397
45252,Caldwell Exempted Village,Noble,124,0,         351,         807,           0,0,0,0,           0,0,829,75.58500000000001,151915.2581349891,129243.99800816501
45260,Carey Exempted Village Schools,Wyandot,121,           0,         239,         807,0,          18,          10,0,           0,          18,856,86.73100000000001,127637.6693566299,114578.53207905997
45278,Carrollton Exempted Village,Carroll,328,          11,         795,        1812,0,          31,0,0,0,          29,1885,88.38600000000001,302332.1649474471,210060.2814963937
45286,Chagrin Falls Exempted Village,Cuyahoga,188,          17,          78,        1747,          49,          54,          26,           0,0,          32,1909,109.224,307016.130370567,266516.23590418545
45294,Chesapeake Union Exempted Village,Lawrence,184,0,         607,        1272,0,          12,0,0,           0,          34,1331,87.906,136349.1644332335,94483.5179627254
45302,Clyde-Green Springs Exempted Village,Sandusky,326,0,         987,        1845,          24,         250,0,           0,0,          61,2184,88.71000000000001,115725.71969678762,102909.08081509409
45310,Coldwater Exempted Village,Mercer,160,          29,         217,        1322,0,          18,0,           0,          30,0,1387,98.75200000000001,145099.25176608283,120724.85941395968
45328,Columbiana Exempted Village,Columbiana,157,0,         246,         991,0,          30,          13,           0,           0,          27,1067,98.153,202651.84189187802,179546.06411039547
45336,Covington Exempted Village,Miami,60,           0,         274,         732,0,          10,0,           0,           0,          24,770,92.13600000000001,137692.08767812024,121591.10739665333
